Year,Region,Annualmaxdailytempforecast,Country
2086,Upper West,42.39,Ghana
2087,Upper West,42.5,Ghana
2088,Upper West,42.96,Ghana
2089,Upper West,42.69,Ghana
2090,Upper West,42.75,Ghana
2091,Upper West,42.83,Ghana
2092,Upper West,42.71,Ghana
2093,Upper West,42.29,Ghana
2094,Upper West,42.53,Ghana
2095,Upper West,42.74,Ghana
2096,Upper West,42.66,Ghana
2097,Upper West,42.56,Ghana
2098,Upper West,42.35,Ghana
2099,Upper West,42.52,Ghana
2100,Upper West,43.08,Ghana
2015,Volta,38.0,Ghana
2016,Volta,37.86,Ghana
2017,Volta,37.94,Ghana
2018,Volta,37.99,Ghana
2019,Volta,38.21,Ghana
2020,Volta,38.35,Ghana
2021,Volta,38.27,Ghana
2022,Volta,38.49,Ghana
2023,Volta,38.21,Ghana
2024,Volta,38.44,Ghana
2025,Volta,38.44,Ghana
2026,Volta,38.31,Ghana
2027,Volta,38.48,Ghana
2028,Volta,38.61,Ghana
2029,Volta,38.56,Ghana
2030,Volta,38.42,Ghana
2031,Volta,38.57,Ghana
2032,Volta,38.59,Ghana
2033,Volta,38.54,Ghana
2034,Volta,38.85,Ghana
2035,Volta,38.67,Ghana
2036,Volta,38.44,Ghana
2037,Volta,38.7,Ghana
2038,Volta,38.68,Ghana
2039,Volta,38.6,Ghana
2040,Volta,38.87,Ghana
2041,Volta,38.59,Ghana
2042,Volta,38.7,Ghana
2043,Volta,39.11,Ghana
2044,Volta,39.14,Ghana
2045,Volta,38.92,Ghana
2046,Volta,39.12,Ghana
2047,Volta,39.17,Ghana
2048,Volta,38.84,Ghana
2049,Volta,38.85,Ghana
2050,Volta,39.01,Ghana
2051,Volta,39.0,Ghana
2052,Volta,39.02,Ghana
2053,Volta,38.74,Ghana
2054,Volta,39.15,Ghana
2055,Volta,38.78,Ghana
2056,Volta,39.19,Ghana
2057,Volta,38.98,Ghana
2058,Volta,39.07,Ghana
2059,Volta,39.1,Ghana
2060,Volta,39.23,Ghana
2061,Volta,39.01,Ghana
2062,Volta,38.98,Ghana
2063,Volta,39.05,Ghana
2064,Volta,38.67,Ghana
2065,Volta,38.92,Ghana
2066,Volta,39.01,Ghana
2067,Volta,39.15,Ghana
2068,Volta,38.94,Ghana
2069,Volta,39.16,Ghana
2070,Volta,38.87,Ghana
2071,Volta,39.02,Ghana
2072,Volta,38.91,Ghana
2073,Volta,39.21,Ghana
2074,Volta,39.16,Ghana
2075,Volta,39.06,Ghana
2076,Volta,38.96,Ghana
2077,Volta,39.03,Ghana
2078,Volta,39.16,Ghana
2079,Volta,39.01,Ghana
2080,Volta,39.05,Ghana
2081,Volta,38.88,Ghana
2082,Volta,39.14,Ghana
2083,Volta,38.94,Ghana
2084,Volta,38.98,Ghana
2085,Volta,39.07,Ghana
2086,Volta,38.86,Ghana
2087,Volta,38.96,Ghana
2088,Volta,39.07,Ghana
2089,Volta,38.67,Ghana
2090,Volta,39.02,Ghana
2091,Volta,38.99,Ghana
2092,Volta,39.09,Ghana
2093,Volta,38.88,Ghana
2094,Volta,38.89,Ghana
2095,Volta,38.95,Ghana
2096,Volta,39.11,Ghana
2097,Volta,39.25,Ghana
2098,Volta,39.0,Ghana
2099,Volta,38.72,Ghana
2100,Volta,39.12,Ghana
2015,Western,35.27,Ghana
2016,Western,35.23,Ghana
2017,Western,35.25,Ghana
2018,Western,35.12,Ghana
2019,Western,35.44,Ghana
2020,Western,35.69,Ghana
2021,Western,35.58,Ghana
2022,Western,35.7,Ghana
2023,Western,35.55,Ghana
2024,Western,35.59,Ghana
2025,Western,35.83,Ghana
2026,Western,35.56,Ghana
2027,Western,35.81,Ghana
2028,Western,35.66,Ghana
2029,Western,35.62,Ghana
2030,Western,35.66,Ghana
2031,Western,35.74,Ghana
2032,Western,35.79,Ghana
2033,Western,35.87,Ghana
2034,Western,36.15,Ghana
2035,Western,35.84,Ghana
2036,Western,35.84,Ghana
2037,Western,36.02,Ghana
2038,Western,36.14,Ghana
2039,Western,36.03,Ghana
2040,Western,35.95,Ghana
2041,Western,36.29,Ghana
2042,Western,36.22,Ghana
2043,Western,36.31,Ghana
