Year,Region,Annualmeantempforecast,Country
2053,Upper West,29.0,Ghana
2054,Upper West,29.04,Ghana
2055,Upper West,29.04,Ghana
2056,Upper West,29.18,Ghana
2057,Upper West,29.21,Ghana
2058,Upper West,29.02,Ghana
2059,Upper West,29.11,Ghana
2060,Upper West,29.26,Ghana
2061,Upper West,29.24,Ghana
2062,Upper West,29.08,Ghana
2063,Upper West,29.11,Ghana
2064,Upper West,29.16,Ghana
2065,Upper West,29.04,Ghana
2066,Upper West,29.27,Ghana
2067,Upper West,29.19,Ghana
2068,Upper West,29.22,Ghana
2069,Upper West,29.3,Ghana
2070,Upper West,29.36,Ghana
2071,Upper West,29.31,Ghana
2072,Upper West,29.14,Ghana
2073,Upper West,29.22,Ghana
2074,Upper West,29.21,Ghana
2075,Upper West,29.21,Ghana
2076,Upper West,29.09,Ghana
2077,Upper West,29.19,Ghana
2078,Upper West,29.28,Ghana
2079,Upper West,29.24,Ghana
2080,Upper West,29.16,Ghana
2081,Upper West,29.19,Ghana
2082,Upper West,29.46,Ghana
2083,Upper West,29.08,Ghana
2084,Upper West,29.09,Ghana
2085,Upper West,29.12,Ghana
2086,Upper West,29.3,Ghana
2087,Upper West,29.07,Ghana
2088,Upper West,29.05,Ghana
2089,Upper West,29.04,Ghana
2090,Upper West,29.0,Ghana
2091,Upper West,29.34,Ghana
2092,Upper West,29.09,Ghana
2093,Upper West,29.26,Ghana
2094,Upper West,29.09,Ghana
2095,Upper West,29.02,Ghana
2096,Upper West,28.76,Ghana
2097,Upper West,28.84,Ghana
2098,Upper West,29.11,Ghana
2099,Upper West,29.21,Ghana
2100,Upper West,29.03,Ghana
2015,Volta,27.67,Ghana
2016,Volta,27.64,Ghana
2017,Volta,27.62,Ghana
2018,Volta,27.8,Ghana
2019,Volta,27.88,Ghana
2020,Volta,28.03,Ghana
2021,Volta,28.0,Ghana
2022,Volta,27.94,Ghana
2023,Volta,27.94,Ghana
2024,Volta,28.11,Ghana
2025,Volta,28.09,Ghana
2026,Volta,28.15,Ghana
2027,Volta,27.93,Ghana
2028,Volta,28.17,Ghana
2029,Volta,28.21,Ghana
2030,Volta,28.17,Ghana
2031,Volta,28.34,Ghana
2032,Volta,28.26,Ghana
2033,Volta,28.4,Ghana
2034,Volta,28.24,Ghana
2035,Volta,28.12,Ghana
2036,Volta,28.22,Ghana
2037,Volta,28.42,Ghana
2038,Volta,28.25,Ghana
2039,Volta,28.28,Ghana
2040,Volta,28.27,Ghana
2041,Volta,28.28,Ghana
2042,Volta,28.41,Ghana
2043,Volta,28.51,Ghana
2044,Volta,28.35,Ghana
2045,Volta,28.33,Ghana
2046,Volta,28.48,Ghana
2047,Volta,28.46,Ghana
2048,Volta,28.48,Ghana
2049,Volta,28.45,Ghana
2050,Volta,28.51,Ghana
2051,Volta,28.61,Ghana
2052,Volta,28.46,Ghana
2053,Volta,28.33,Ghana
2054,Volta,28.44,Ghana
2055,Volta,28.35,Ghana
2056,Volta,28.53,Ghana
2057,Volta,28.46,Ghana
2058,Volta,28.42,Ghana
2059,Volta,28.51,Ghana
2060,Volta,28.57,Ghana
2061,Volta,28.51,Ghana
2062,Volta,28.35,Ghana
2063,Volta,28.52,Ghana
2064,Volta,28.56,Ghana
2065,Volta,28.37,Ghana
2066,Volta,28.5,Ghana
2067,Volta,28.49,Ghana
2068,Volta,28.6,Ghana
2069,Volta,28.51,Ghana
2070,Volta,28.64,Ghana
2071,Volta,28.43,Ghana
2072,Volta,28.39,Ghana
2073,Volta,28.49,Ghana
2074,Volta,28.5,Ghana
2075,Volta,28.54,Ghana
2076,Volta,28.4,Ghana
2077,Volta,28.56,Ghana
2078,Volta,28.59,Ghana
2079,Volta,28.61,Ghana
2080,Volta,28.43,Ghana
2081,Volta,28.54,Ghana
2082,Volta,28.66,Ghana
2083,Volta,28.39,Ghana
2084,Volta,28.36,Ghana
2085,Volta,28.41,Ghana
2086,Volta,28.49,Ghana
2087,Volta,28.4,Ghana
2088,Volta,28.39,Ghana
2089,Volta,28.25,Ghana
2090,Volta,28.41,Ghana
2091,Volta,28.57,Ghana
2092,Volta,28.38,Ghana
2093,Volta,28.32,Ghana
2094,Volta,28.43,Ghana
2095,Volta,28.47,Ghana
2096,Volta,28.23,Ghana
2097,Volta,28.41,Ghana
2098,Volta,28.44,Ghana
2099,Volta,28.52,Ghana
2100,Volta,28.44,Ghana
2015,Western,27.07,Ghana
2016,Western,27.13,Ghana
2017,Western,27.15,Ghana
2018,Western,27.24,Ghana
2019,Western,27.37,Ghana
2020,Western,27.4,Ghana
2021,Western,27.42,Ghana
2022,Western,27.37,Ghana
2023,Western,27.39,Ghana
2024,Western,27.56,Ghana
2025,Western,27.54,Ghana
2026,Western,27.55,Ghana
2027,Western,27.39,Ghana
2028,Western,27.54,Ghana
2029,Western,27.61,Ghana
2030,Western,27.59,Ghana
2031,Western,27.67,Ghana
2032,Western,27.58,Ghana
2033,Western,27.73,Ghana
2034,Western,27.63,Ghana
2035,Western,27.54,Ghana
2036,Western,27.68,Ghana
2037,Western,27.84,Ghana
2038,Western,27.78,Ghana
2039,Western,27.81,Ghana
2040,Western,27.66,Ghana
2041,Western,27.73,Ghana
2042,Western,27.86,Ghana
2043,Western,27.97,Ghana
2044,Western,27.85,Ghana
